time,vehicle_id,type,position,speed,stopped,troublemaker,light_state
0.0,0,car,-94.91,10.18,False,False,red
0.0,1,truck,-118.03,6.93,False,False,red
0.0,2,car,-147.62,9.75,False,False,red
0.0,3,truck,-163.31,7.38,False,True,red
0.0,4,car,-186.12,9.76,False,False,red
0.0,5,truck,-202.74,7.52,False,False,red
0.0,6,car,-221.67,9.66,False,False,red
0.0,7,car,-246.26,9.48,False,False,red
0.0,0,car,-89.82,10.18,False,False,red
0.0,1,truck,-114.57,6.93,False,False,red
0.0,2,car,-142.75,9.75,False,False,red
0.0,3,truck,-159.62,7.38,False,True,red
0.0,4,car,-181.24,9.76,False,False,red
0.0,5,truck,-198.98,7.52,False,False,red
0.0,6,car,-216.84,9.66,False,False,red
0.0,7,car,-241.52,9.48,False,False,red
0.0,0,car,-84.73,10.18,False,False,red
0.0,1,truck,-111.1,6.93,False,False,red
0.0,2,car,-137.87,9.75,False,False,red
0.0,3,truck,-155.93,7.38,False,True,red
0.0,4,car,-176.36,9.76,False,False,red
0.0,5,truck,-195.22,7.52,False,False,red
0.0,6,car,-212.01,9.66,False,False,red
0.0,7,car,-236.78,9.48,False,False,red
0.0,0,car,-79.63,10.18,False,False,red
0.0,1,truck,-107.64,6.93,False,False,red
0.0,2,car,-132.99,9.75,False,False,red
0.0,3,truck,-152.24,7.38,False,True,red
0.0,4,car,-171.49,9.76,False,False,red
0.0,5,truck,-191.46,7.52,False,False,red
0.0,6,car,-207.18,9.66,False,False,red
0.0,7,car,-232.04,9.48,False,False,red
0.5,0,car,-74.54,10.18,False,False,red
0.5,1,truck,-104.17,6.93,False,False,red
0.5,2,car,-128.11,9.75,False,False,red
0.5,3,truck,-148.55,7.38,False,True,red
0.5,4,car,-166.61,9.76,False,False,red
0.5,5,truck,-187.7,7.52,False,False,red
0.5,6,car,-202.34,9.66,False,False,red
0.5,7,car,-227.3,9.48,False,False,red
1.0,0,car,-69.45,10.18,False,False,red
1.0,1,truck,-100.71,6.93,False,False,red
1.0,2,car,-123.24,9.75,False,False,red
1.0,3,truck,-144.86,7.38,False,True,red
1.0,4,car,-161.73,9.76,False,False,red
1.0,5,truck,-183.94,7.52,False,False,red
1.0,6,car,-197.51,9.66,False,False,red
1.0,7,car,-222.57,9.48,False,False,red
1.5,0,car,-64.36,10.18,False,False,red
1.5,1,truck,-97.24,6.93,False,False,red
1.5,2,car,-118.36,9.75,False,False,red
1.5,3,truck,-141.17,7.38,False,True,red
1.5,4,car,-156.85,9.76,False,False,red
1.5,5,truck,-180.18,7.52,False,False,red
1.5,6,car,-192.68,9.66,False,False,red
1.5,7,car,-217.83,9.48,False,False,red
2.0,0,car,-59.27,10.18,False,False,red
2.0,1,truck,-93.78,6.93,False,False,red
2.0,2,car,-113.48,9.75,False,False,red
